CEE iTOF det-fee channel map,,,,,
Note that the first 3 lines will be passed,,,,,
detid,stripid,sideid,feeid,channelid,globalid
1,7,0,0,0,0
1,0,1,1,0,1
0,7,0,2,0,2
0,0,1,3,0,3
1,6,0,0,1,4
1,1,1,1,1,5
0,6,0,2,1,6
0,1,1,3,1,7
1,5,0,0,2,8
1,2,1,1,2,9
0,5,0,2,2,10
0,2,1,3,2,11
1,4,0,0,3,12
1,3,1,1,3,13
0,4,0,2,3,14
0,3,1,3,3,15
1,3,0,0,4,16
1,4,1,1,4,17
0,3,0,2,4,18
0,4,1,3,4,19
1,2,0,0,5,20
1,5,1,1,5,21
0,2,0,2,5,22
0,5,1,3,5,23
1,1,0,0,6,24
1,6,1,1,6,25
0,1,0,2,6,26
0,6,1,3,6,27
1,0,0,0,7,28
1,7,1,1,7,29
0,0,0,2,7,30
0,7,1,3,7,31
1,15,0,0,8,32
1,8,1,1,8,33
0,15,0,2,8,34
0,8,1,3,8,35
1,14,0,0,9,36
1,9,1,1,9,37
0,14,0,2,9,38
0,9,1,3,9,39
1,13,0,0,10,40
1,10,1,1,10,41
0,13,0,2,10,42
0,10,1,3,10,43
1,12,0,0,11,44
1,11,1,1,11,45
0,12,0,2,11,46
0,11,1,3,11,47
1,11,0,0,12,48
1,12,1,1,12,49
0,11,0,2,12,50
0,12,1,3,12,51
1,10,0,0,13,52
1,13,1,1,13,53
0,10,0,2,13,54
0,13,1,3,13,55
1,9,0,0,14,56
1,14,1,1,14,57
0,9,0,2,14,58
0,14,1,3,14,59
1,8,0,0,15,60
1,15,1,1,15,61
0,8,0,2,15,62
0,15,1,3,15,63
